"collection1"
"artist.text","artist.href","author/date"
"Total Control","http://pitchfork.com/features/rising/9434-total-control/","Evan Minsker; June 13, 2014"
"Quirke","http://pitchfork.com/features/rising/9431-quirke/","Ryan Dombal; June 12, 2014"
"Makthaverskan","http://pitchfork.com/features/rising/9409-makthaverskan/","Jenn Pelly; May 27, 2014"
"Shamir","http://pitchfork.com/features/rising/9405-shamir/","Corban Goble; May 15, 2014"
"Ben Khan","http://pitchfork.com/features/rising/9398-ben-khan/","Ian Cohen; May 7, 2014"
"Posse","http://pitchfork.com/features/rising/9369-posse/","Jenn Pelly; April 22, 2014"
"Lee","http://pitchfork.com/features/rising/9368-lee/","Carrie Battan; April 1, 2014"
"Viet Cong","http://pitchfork.com/features/rising/9353-viet-cong/","Evan Minsker; March 13, 2014"
"Torn Hawk","http://pitchfork.com/features/rising/9346-torn-hawk/","Andy Beta; March 7, 2014"
"Frankie Cosmos","http://pitchfork.com/features/rising/9345-frankie-cosmos/","Jenn Pelly; March 5, 2014"
"Isaiah Rashad","http://pitchfork.com/features/rising/9333-isaiah-rashad/","Corban Goble; February 21, 2014"
"Sevendeaths","http://pitchfork.com/features/rising/9318-sevendeaths/","Ryan Dombal; January 31, 2014"
"Eagulls","http://pitchfork.com/features/rising/9300-eagulls/","Jayson Greene; January 7, 2014"
"Tessela","http://pitchfork.com/features/rising/9289-tessela/","Gabriel Szatan; December 13, 2013"
"Mutual Benefit","http://pitchfork.com/features/rising/9273-mutual-benefit/","Ian Cohen; December 3, 2013"
"Roosevelt","http://pitchfork.com/features/rising/9263-roosevelt/","Larry Fitzmaurice; November 19, 2013"
"Perfect Pussy","http://pitchfork.com/features/rising/9244-perfect-pussy/","Evan Minsker; October 30, 2013"
"Anthony Naples","http://pitchfork.com/features/rising/9239-anthony-naples/","Gabriel Szatan; October 24, 2013"
"Kelela","http://pitchfork.com/features/rising/9247-kelela/","Ruth Saxelby; October 22, 2013"
"Mas Ysa","http://pitchfork.com/features/rising/9227-mas-ysa/","Evan Minsker; October 18, 2013"
"The Range","http://pitchfork.com/features/rising/9242-the-range/","Andrew Gaerig; October 15, 2013"
"Sophie","http://pitchfork.com/features/rising/9237-sophie/","Larry Fitzmaurice; October 10, 2013"
"Courtney Barnett","http://pitchfork.com/features/rising/9230-courtney-barnett/","Jayson Greene; October 1, 2013"
"FKA twigs","http://pitchfork.com/features/rising/9183-rising-fka-twigs/","Carrie Battan; August 1, 2013"
"Raspberry Bulbs","http://pitchfork.com/features/rising/9176-raspberry-bulbs/","Jenn Pelly; July 31, 2013"
"Speedy Ortiz","http://pitchfork.com/features/rising/9165-speedy-ortiz/","Jenn Pelly; July 10, 2013"
"Sampha","http://pitchfork.com/features/rising/9164-sampha/","Ruth Saxelby; July 8, 2013"
"Anna Meredith","http://pitchfork.com/features/rising/9154-anna-meredith/","Laura Snapes; July 3, 2013"
"John Wizards","http://pitchfork.com/features/rising/9148-john-wizards/","Ryan Dombal; June 11, 2013"
"Airhead","http://pitchfork.com/features/rising/9142-airhead/","Larry Fitzmaurice; June 3, 2013"
"Koreless","http://pitchfork.com/features/rising/9135-koreless/","Ruth Saxelby; May 21, 2013"
"Jenny Hval","http://pitchfork.com/features/rising/9126-jenny-hval/","Jenn Pelly; May 6, 2013"
"Chance the Rapper","http://pitchfork.com/features/rising/9103-chance-the-rapper/","Corban Goble; April 23, 2013"
"Jackson Scott","http://pitchfork.com/features/rising/9096-jackson-scott/","Ian Cohen; April 2, 2013"
"Pharmakon","http://pitchfork.com/features/rising/9091-pharmakon/","Brandon Stosuy; March 27, 2013"
"Kate Boy","http://pitchfork.com/features/rising/9081-kate-boy/","Lindsay Zoladz; March 6, 2013"
"Chvrches","http://pitchfork.com/features/rising/9077-chvrches/","Ian Cohen; February 27, 2013"
"The Haxan Cloak","http://pitchfork.com/features/rising/9070-the-haxan-cloak/","Larry Fitzmaurice; February 21, 2013"
"Vondelpark","http://pitchfork.com/features/rising/9052-vondelpark/","Ryan Dombal; January 30, 2013"
"Waxahatchee","http://pitchfork.com/features/rising/9045-waxahatchee/","Jenn Pelly; January 24, 2013"
"Parquet Courts","http://pitchfork.com/features/rising/9037-parquet-courts/","Jayson Greene; January 9, 2013"
"Ryan Hemsworth","http://pitchfork.com/features/rising/9035-ryan-hemsworth/","Jayson Greene; January 8, 2013"
"Disclosure","http://pitchfork.com/features/rising/9012-disclosure/","Larry Fitzmaurice; January 3, 2013"
"Eddi Front","http://pitchfork.com/features/rising/9001-eddi-front/","Lindsay Zoladz; January 2, 2013"
"Autre Ne Veut","http://pitchfork.com/features/rising/8992-autre-ne-veut/","Carrie Battan; November 16, 2012"
"Holly Herndon","http://pitchfork.com/features/rising/8990-holly-herndon/","Lindsay Zoladz; November 13, 2012"
"Rhye","http://pitchfork.com/features/rising/8976-rhye/","Larry Fitzmaurice; November 7, 2012"
"Benoit & Sergio","http://pitchfork.com/features/rising/8984-benoit-sergio/","Ryan Dombal; November 5, 2012"
"Doldrums","http://pitchfork.com/features/rising/8972-doldrums/","Evan Minsker; October 26, 2012"
"FIDLAR","http://pitchfork.com/features/rising/8967-fidlar/","Ian Cohen; October 16, 2012"
"Metz","http://pitchfork.com/features/rising/8962-metz/","Evan Minsker; October 9, 2012"
"Hundred Waters","http://pitchfork.com/features/rising/8933-hundred-waters/","Ian Cohen; August 30, 2012"
"White Lung","http://pitchfork.com/features/rising/8922-white-lung/","Jenn Pelly; August 22, 2012"
"Lower","http://pitchfork.com/features/rising/8904-lower/","Jenn Pelly; August 8, 2012"
"Dominic Lord","http://pitchfork.com/features/rising/8909-dominic-lord/","Carrie Battan; August 3, 2012"
"Merchandise","http://pitchfork.com/features/rising/8887-merchandise/","Jenn Pelly; July 11, 2012"
"Young Chop","http://pitchfork.com/features/rising/8879-young-chop/","Carrie Battan; June 29, 2012"
"Poolside","http://pitchfork.com/features/rising/8876-poolside/","Ian Cohen; June 28, 2012"
"Joey Bada$$","http://pitchfork.com/features/rising/8873-joey-bada/","Jayson Greene; June 22, 2012"
